Anode_Alloy,Anode_Table1_Group,Anode_Group_ID,Cathode_Alloy,Cathode_Table1_Group,Cathode_Group_ID,Potential_Difference_V,Environment,Electrolyte_Conductivity_Sm,Cathode_Anode_Area_Ratio,R_p_Anode_Ohm_m2,R_p_Cathode_Ohm_m2,Target_Galvanic_Current_Density,PDF_Compatibility_Status
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.41,Marine (Seawater),5.0,2.24,5.0,1.0,0.143277,Compatible
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Silver solder,Silver,18,0.19,Industrial (Acidic Rain),0.1,0.037,2.0,10.0,0.00033,Compatible
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.69,Marine (Seawater),5.0,2.827,0.1,2.0,0.886319,Unfavorable
Lead,Lead,7,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.32,Industrial (Acidic Rain),0.1,2.44,0.3,1.0,0.070597,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.51,Marine (Seawater),5.0,3.353,0.3,2.0,0.741298,Unfavorable
Cadmium,"Cadmium, Beryllium",3,18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.17,Rural (Freshwater),0.01,0.686,0.1,5.0,0.001128,Compatible
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.2,Industrial (Acidic Rain),0.1,0.219,5.0,2.0,0.002631,Compatible
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.3,Marine (Seawater),5.0,0.589,5.0,1.0,0.026016,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Titanium,Titanium,17,0.63,Rural (Freshwater),0.01,0.119,5.0,10.0,0.000689,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Graphite,Graphite,20,0.82,Rural (Freshwater),0.01,0.355,0.1,10.0,0.002688,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,Inconel (active),"Nickel, Cobalt",16,0.26,Industrial (Acidic Rain),0.1,0.189,0.3,2.0,0.003978,Unfavorable
Lead-tin solders,"Tin, Tin-Lead, Indium",8,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.72,Marine (Seawater),5.0,1.239,0.3,10.0,0.091505,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Nickel (active),"Nickel, Cobalt",16,0.38,Marine (Seawater),5.0,3.088,0.1,2.0,0.464318,Unfavorable
Chlorimet 2,"Nickel, Cobalt",16,Graphite,Graphite,20,0.41,Rural (Freshwater),0.01,0.901,2.0,10.0,0.003396,Unfavorable
Zinc,"Zinc, Zinc Coating",2,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.91,Rural (Freshwater),0.01,3.092,0.1,1.0,0.027787,Unfavorable
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.13,Rural (Freshwater),0.01,1.817,1.0,2.0,0.002451,Compatible
Magnesium and magnesium alloys,Magnesium,1,Copper,"Copper-High Nickel, Monel",15,1.4,Marine (Seawater),5.0,1.927,0.1,1.0,2.04644,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,Tin,"Tin, Tin-Lead, Indium",8,1.18,Rural (Freshwater),0.01,1.024,0.1,0.3,0.012418,Unfavorable
Cadmium,"Cadmium, Beryllium",3,Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,0.15,Marine (Seawater),5.0,1.487,0.1,0.3,0.368425,Compatible
Magnesium and magnesium alloys,Magnesium,1,18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,1.07,Rural (Freshwater),0.01,14.435,0.1,5.0,0.151948,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,1.03,Industrial (Acidic Rain),0.1,1.061,0.1,5.0,0.073883,Unfavorable
Inconel (active),"Nickel, Cobalt",16,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.18,Industrial (Acidic Rain),0.1,0.408,2.0,1.0,0.005975,Compatible
Nickel (active),"Nickel, Cobalt",16,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.31,Marine (Seawater),5.0,4.614,2.0,2.0,0.323459,Compatible
Lead-tin solders,"Tin, Tin-Lead, Indium",8,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.38,Rural (Freshwater),0.01,62.977,0.3,1.0,0.238207,Unfavorable
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,Silver,Silver,18,0.14,Marine (Seawater),5.0,0.099,5.0,10.0,0.000911,Unfavorable
Nickel (active),"Nickel, Cobalt",16,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.23,Marine (Seawater),5.0,3.329,2.0,1.0,0.243275,Compatible
Steel or iron,"Steels-Carbon, Low Alloy",6,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.44,Rural (Freshwater),0.01,0.107,0.3,1.0,0.000443,Unfavorable
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.14,Rural (Freshwater),0.01,0.01,1.0,2.0,1.4e-05,Compatible
Inconel (active),"Nickel, Cobalt",16,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.12,Rural (Freshwater),0.01,0.085,2.0,1.0,0.000105,Compatible
Zinc,"Zinc, Zinc Coating",2,Cadmium,"Cadmium, Beryllium",3,0.33,Marine (Seawater),5.0,0.343,0.1,0.1,0.283432,Compatible
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.43,Industrial (Acidic Rain),0.1,0.407,5.0,5.0,0.008528,Compatible
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Silver,Silver,18,0.59,Rural (Freshwater),0.01,1.331,0.3,10.0,0.007471,Unfavorable
18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.27,Marine (Seawater),5.0,0.695,5.0,10.0,0.012718,Unfavorable
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.45,Marine (Seawater),5.0,2.422,5.0,1.0,0.178152,Unfavorable
18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.01,Marine (Seawater),5.0,1.997,5.0,2.0,0.003182,Compatible
Lead-tin solders,"Tin, Tin-Lead, Indium",8,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.46,Industrial (Acidic Rain),0.1,1.158,0.3,2.0,0.041227,Unfavorable
Tin,"Tin, Tin-Lead, Indium",8,Titanium,Titanium,17,0.48,Industrial (Acidic Rain),0.1,4.901,0.3,10.0,0.118005,Unfavorable
Titanium,Titanium,17,Graphite,Graphite,20,0.07,Industrial (Acidic Rain),0.1,0.666,10.0,10.0,0.001513,Compatible
18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Graphite,Graphite,20,0.18,Marine (Seawater),5.0,0.361,5.0,10.0,0.004438,Unfavorable
Inconel (active),"Nickel, Cobalt",16,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.2,Rural (Freshwater),0.01,7.636,2.0,1.0,0.014133,Compatible
"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.08,Marine (Seawater),5.0,13.907,1.0,2.0,0.349089,Compatible
Zinc,"Zinc, Zinc Coating",2,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.86,Industrial (Acidic Rain),0.1,2.426,0.1,1.0,0.167425,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Graphite,Graphite,20,0.82,Industrial (Acidic Rain),0.1,1.627,0.1,10.0,0.069135,Unfavorable
"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.08,Marine (Seawater),5.0,4.408,1.0,2.0,0.115145,Compatible
Silver solder,Silver,18,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.1,Marine (Seawater),5.0,17.684,10.0,2.0,0.14383,Compatible
"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.08,Marine (Seawater),5.0,9.271,1.0,2.0,0.222326,Compatible
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.14,Marine (Seawater),5.0,0.381,1.0,2.0,0.016481,Compatible
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Nickel (passive),"Nickel, Cobalt",16,0.21,Industrial (Acidic Rain),0.1,0.041,2.0,2.0,0.000616,Compatible
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Nickel (passive),"Nickel, Cobalt",16,0.61,Rural (Freshwater),0.01,0.565,0.1,2.0,0.00348,Unfavorable
18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.3,Industrial (Acidic Rain),0.1,0.685,5.0,10.0,0.008325,Unfavorable
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.06,Rural (Freshwater),0.01,1.251,5.0,2.0,0.000676,Compatible
Magnesium and magnesium alloys,Magnesium,1,"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,0.91,Industrial (Acidic Rain),0.1,0.863,0.1,0.1,0.079687,Unfavorable
Zinc,"Zinc, Zinc Coating",2,Lead-tin solders,"Tin, Tin-Lead, Indium",8,0.53,Industrial (Acidic Rain),0.1,2.495,0.1,0.3,0.116409,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.75,Marine (Seawater),5.0,0.049,5.0,10.0,0.002384,Unfavorable
18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Titanium,Titanium,17,0.11,Marine (Seawater),5.0,3.889,5.0,10.0,0.028281,Compatible
Cadmium,"Cadmium, Beryllium",3,Graphite,Graphite,20,0.83,Marine (Seawater),5.0,2.479,0.1,10.0,0.179085,Unfavorable
Cadmium,"Cadmium, Beryllium",3,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.52,Industrial (Acidic Rain),0.1,0.293,0.1,1.0,0.014704,Unfavorable
"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.02,Marine (Seawater),5.0,9.98,1.0,5.0,0.030222,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,Nickel (active),"Nickel, Cobalt",16,0.26,Industrial (Acidic Rain),0.1,0.364,0.3,2.0,0.007214,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.69,Industrial (Acidic Rain),0.1,1.472,0.1,2.0,0.081625,Unfavorable
Lead,Lead,7,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.24,Industrial (Acidic Rain),0.1,0.959,0.3,1.0,0.020225,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.57,Rural (Freshwater),0.01,0.199,0.3,2.0,0.001024,Unfavorable
Lead,Lead,7,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.35,Rural (Freshwater),0.01,5.647,0.3,1.0,0.019879,Unfavorable
"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.2,Marine (Seawater),5.0,7.037,2.0,10.0,0.116336,Compatible
Chlorimet 2,"Nickel, Cobalt",16,Titanium,Titanium,17,0.34,Marine (Seawater),5.0,0.825,2.0,10.0,0.021974,Compatible
Magnesium and magnesium alloys,Magnesium,1,18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,1.07,Marine (Seawater),5.0,6.038,0.1,5.0,1.118028,Unfavorable
Tin,"Tin, Tin-Lead, Indium",8,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.3,Marine (Seawater),5.0,1.351,0.3,1.0,0.258168,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.28,Industrial (Acidic Rain),0.1,1.084,2.0,5.0,0.018972,Compatible
Nickel (active),"Nickel, Cobalt",16,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.31,Marine (Seawater),5.0,9.689,2.0,2.0,0.76572,Compatible
Inconel (active),"Nickel, Cobalt",16,Nickel (active),"Nickel, Cobalt",16,0.0,Industrial (Acidic Rain),0.1,2.523,2.0,2.0,0.0,Compatible
Magnesium and magnesium alloys,Magnesium,1,Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,1.05,Marine (Seawater),5.0,0.475,0.1,0.3,0.83574,Unfavorable
Zinc,"Zinc, Zinc Coating",2,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.99,Rural (Freshwater),0.01,0.018,0.1,2.0,0.000152,Unfavorable
Nickel (active),"Nickel, Cobalt",16,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.57,Rural (Freshwater),0.01,76.354,2.0,10.0,0.372463,Unfavorable
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.2,Marine (Seawater),5.0,1.778,5.0,2.0,0.05023,Compatible
18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Silver,Silver,18,0.12,Rural (Freshwater),0.01,1.616,5.0,10.0,0.00162,Compatible
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.13,Industrial (Acidic Rain),0.1,0.901,1.0,2.0,0.009333,Compatible
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.06,Industrial (Acidic Rain),0.1,0.234,5.0,2.0,0.00083,Unfavorable
Lead,Lead,7,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.43,Marine (Seawater),5.0,2.163,0.3,2.0,0.370917,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Chlorimet 2,"Nickel, Cobalt",16,0.45,Industrial (Acidic Rain),0.1,0.22,0.1,2.0,0.007795,Unfavorable
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Lead-tin solders,"Tin, Tin-Lead, Indium",8,0.07,Marine (Seawater),5.0,3.857,5.0,0.3,0.050768,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Chlorimet 2,"Nickel, Cobalt",16,0.29,Rural (Freshwater),0.01,3.488,5.0,2.0,0.010164,Unfavorable
Inconel (active),"Nickel, Cobalt",16,Graphite,Graphite,20,0.48,Industrial (Acidic Rain),0.1,6.323,2.0,10.0,0.135414,Unfavorable
Nickel (active),"Nickel, Cobalt",16,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.27,Industrial (Acidic Rain),0.1,13.728,2.0,5.0,0.209923,Compatible
"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.26,Marine (Seawater),5.0,28.275,2.0,10.0,0.589287,Compatible
Cast iron,"Steels-Carbon, Low Alloy",6,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.38,Marine (Seawater),5.0,5.258,0.3,1.0,1.329091,Unfavorable
Lead-tin solders,"Tin, Tin-Lead, Indium",8,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.35,Marine (Seawater),5.0,0.987,0.3,1.0,0.215134,Unfavorable
Cadmium,"Cadmium, Beryllium",3,Cast iron,"Steels-Carbon, Low Alloy",6,0.09,Rural (Freshwater),0.01,0.159,0.1,0.3,0.000152,Compatible
Copper,"Copper-High Nickel, Monel",15,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.12,Rural (Freshwater),0.01,8.938,1.0,5.0,0.009869,Compatible
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.0,Industrial (Acidic Rain),0.1,4.733,5.0,5.0,0.0,Compatible
Chlorimet 2,"Nickel, Cobalt",16,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.24,Rural (Freshwater),0.01,20.716,2.0,2.0,0.046598,Compatible
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,Titanium,Titanium,17,0.16,Industrial (Acidic Rain),0.1,3.685,5.0,10.0,0.023685,Unfavorable
18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.27,Industrial (Acidic Rain),0.1,0.095,5.0,10.0,0.001065,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.2,Industrial (Acidic Rain),0.1,2.89,0.1,5.0,0.040473,Unfavorable
Inconel (active),"Nickel, Cobalt",16,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.3,Marine (Seawater),5.0,0.112,2.0,5.0,0.004293,Compatible
"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.11,Marine (Seawater),5.0,2.235,1.0,2.0,0.075256,Compatible
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.26,Marine (Seawater),5.0,0.635,5.0,10.0,0.009587,Unfavorable
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,Graphite,Graphite,20,0.23,Marine (Seawater),5.0,6.518,5.0,10.0,0.106911,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.85,Rural (Freshwater),0.01,1.416,0.1,10.0,0.010635,Unfavorable
Cadmium,"Cadmium, Beryllium",3,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.66,Marine (Seawater),5.0,3.059,0.1,2.0,0.82093,Unfavorable
Lead,Lead,7,Titanium,Titanium,17,0.53,Rural (Freshwater),0.01,3.666,0.3,10.0,0.017649,Unfavorable
Chlorimet 2,"Nickel, Cobalt",16,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.16,Marine (Seawater),5.0,0.034,2.0,1.0,0.001565,Compatible
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.07,Rural (Freshwater),0.01,0.84,1.0,5.0,0.000546,Compatible
Nickel (active),"Nickel, Cobalt",16,Nickel (passive),"Nickel, Cobalt",16,0.23,Marine (Seawater),5.0,1.487,2.0,2.0,0.082427,Compatible
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.03,Industrial (Acidic Rain),0.1,7.093,1.0,1.0,0.017858,Compatible
Copper,"Copper-High Nickel, Monel",15,Silver,Silver,18,0.24,Rural (Freshwater),0.01,0.399,1.0,10.0,0.000954,Compatible
Chlorimet 2,"Nickel, Cobalt",16,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.23,Rural (Freshwater),0.01,0.211,2.0,5.0,0.000437,Compatible
Inconel (active),"Nickel, Cobalt",16,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.51,Industrial (Acidic Rain),0.1,1.665,2.0,10.0,0.040849,Compatible
Tin,"Tin, Tin-Lead, Indium",8,Silver,Silver,18,0.46,Marine (Seawater),5.0,1.798,0.3,10.0,0.081159,Unfavorable
Lead,Lead,7,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.37,Rural (Freshwater),0.01,2.538,0.3,5.0,0.008972,Unfavorable
Chlorimet 2,"Nickel, Cobalt",16,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.24,Marine (Seawater),5.0,0.734,2.0,2.0,0.04057,Compatible
Steel or iron,"Steels-Carbon, Low Alloy",6,Chlorimet 2,"Nickel, Cobalt",16,0.33,Marine (Seawater),5.0,1.014,0.3,2.0,0.136156,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,Cadmium,"Cadmium, Beryllium",3,0.9,Marine (Seawater),5.0,3.499,0.1,0.1,7.615018,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.45,Marine (Seawater),5.0,1.567,5.0,5.0,0.063051,Compatible
Copper,"Copper-High Nickel, Monel",15,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.42,Industrial (Acidic Rain),0.1,0.765,1.0,10.0,0.015462,Compatible
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.55,Industrial (Acidic Rain),0.1,1.554,0.1,1.0,0.078093,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.58,Rural (Freshwater),0.01,0.239,0.1,1.0,0.00145,Unfavorable
Magnesium and magnesium alloys,Magnesium,1,Chlorimet 2,"Nickel, Cobalt",16,1.32,Rural (Freshwater),0.01,0.385,0.1,2.0,0.005054,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.65,Marine (Seawater),5.0,0.039,0.1,5.0,0.004787,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Nickel (passive),"Nickel, Cobalt",16,0.43,Marine (Seawater),5.0,0.31,0.3,2.0,0.051138,Unfavorable
Nickel (passive),"Nickel, Cobalt",16,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.07,Marine (Seawater),5.0,34.065,2.0,5.0,0.332486,Compatible
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.63,Marine (Seawater),5.0,0.266,0.1,5.0,0.031395,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Silver solder,Silver,18,0.55,Industrial (Acidic Rain),0.1,1.227,0.1,10.0,0.032811,Unfavorable
Zinc,"Zinc, Zinc Coating",2,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.88,Industrial (Acidic Rain),0.1,0.211,0.1,1.0,0.0164,Unfavorable
18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.03,Marine (Seawater),5.0,0.387,5.0,5.0,0.001148,Compatible
Magnesium and magnesium alloys,Magnesium,1,Inconel (active),"Nickel, Cobalt",16,1.25,Rural (Freshwater),0.01,0.034,0.1,2.0,0.000395,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.51,Marine (Seawater),5.0,0.357,0.1,1.0,0.144,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Titanium,Titanium,17,0.79,Industrial (Acidic Rain),0.1,38.488,0.1,10.0,1.559269,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Inconel (active),"Nickel, Cobalt",16,0.38,Rural (Freshwater),0.01,0.185,0.1,2.0,0.000641,Unfavorable
Lead-tin solders,"Tin, Tin-Lead, Indium",8,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.38,Rural (Freshwater),0.01,7.825,0.3,1.0,0.028999,Unfavorable
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.06,Industrial (Acidic Rain),0.1,0.244,5.0,2.0,0.000876,Unfavorable
